1;ADMINISTRADOR
4;ComercialStock
3;OPERARIO
9;PICKEADOR CAJAS
10;PICKEADOR CAJAS/UNIDADES
8;PICKEADOR PALLETS
11;PICKEADOR UNIDADES
2;SUPERVISOR
5;SeguridadContrasenaModificar
7;StockAjustes
